Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
222,2017,3,23,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
223,2019,2,8,Antioquia,Atropello,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,1,0,0
224,2018,3,23,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,1,0
225,2017,4,23,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
226,2018,2,20,Caldas,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,0
227,2019,2,8,Antioquia,Volcamiento,Sin causa especifica,Curva Derecha,Ondulado,Media ladera Izquierda,0,0,0
228,2017,4,26,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,2,0
229,2019,2,4,Antioquia,Choque,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
230,2018,11,27,Nariño,No determinado,Sin causa especifica,Recta,Plano,Terraplen,1,0,1
231,2019,2,7,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Ondulado,Media ladera Izquierda,0,1,0
232,2018,3,2,Caldas,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
233,2019,2,14,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media ladera Izquierda,0,0,0
234,2017,12,15,Casanare,Choque,Sin causa especifica,Recta,Plano,Terraplen,1,0,1
235,2017,2,27,Antioquia,Choque,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,0,0
236,2017,9,10,Tolima,Choque,Sin causa especifica,Recta,Escarpado,Media ladera Izquierda,0,0,0
237,2018,7,18,Sucre,Volcamiento,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
238,2017,3,26,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media Ladera Derecha,0,4,0
239,2017,4,22,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
